Event,Team,Medal,Known As,Athlete ID,NOC,Discipline,Year,Season,Place,Tied Place
"Singles, Men (Olympic)",,,Jean-François Blanchy,1,FRA,Tennis,1912,Summer,17.0,True
"Doubles, Men (Olympic)",Jean Montariol,,Jean-François Blanchy,1,FRA,Tennis,1912,Summer,,False
"Singles, Men (Olympic)",,,Jean-François Blanchy,1,FRA,Tennis,1920,Summer,32.0,True
"Doubles, Mixed (Olympic)",Jeanne Vaussard,,Jean-François Blanchy,1,FRA,Tennis,1920,Summer,8.0,True
"Doubles, Men (Olympic)",Jacques Brugnon,,Jean-François Blanchy,1,FRA,Tennis,1920,Summer,4.0,False
"Singles, Men (Olympic)",,,Arnaud Boetsch,2,FRA,Tennis,1996,Summer,17.0,True
"Doubles, Men (Olympic)",Guillaume Raoux,,Arnaud Boetsch,2,FRA,Tennis,1996,Summer,17.0,True
"Singles, Men (Olympic)",,,Jean Borotra,3,FRA,Tennis,1924,Summer,4.0,False
"Doubles, Mixed (Olympic)",Marguerite Billout,,Jean Borotra,3,FRA,Tennis,1924,Summer,15.0,True
"Doubles, Men (Olympic)",René Lacoste,Bronze,Jean Borotra,3,FRA,Tennis,1924,Summer,3.0,False
"Singles, Men (Olympic)",,,Jacques Brugnon,4,FRA,Tennis,1920,Summer,9.0,True
"Doubles, Men (Olympic)",Jean-François Blanchy,,Jacques Brugnon,4,FRA,Tennis,1920,Summer,4.0,False
"Doubles, Men (Olympic)",Henri Cochet,Silver,Jacques Brugnon,4,FRA,Tennis,1924,Summer,2.0,False
"Singles, Men (Olympic)",,,Albert Canet,5,FRA,Tennis,1912,Summer,17.0,True
"Doubles, Mixed (Olympic)",Marguerite Broquedis,Bronze,Albert Canet,5,FRA,Tennis,1912,Summer,3.0,False
"Doubles, Men (Olympic)",Édouard Mény de Marangue,Bronze,Albert Canet,5,FRA,Tennis,1912,Summer,3.0,False
"Singles, Men (Olympic)",,,Nicolas Chatelain,6,FRA,Table Tennis,1992,Summer,33.0,True
"Doubles, Men (Olympic)",Patrick Chila,,Nicolas Chatelain,6,FRA,Table Tennis,1992,Summer,17.0,True
"Doubles, Men (Olympic)",Nicolas Chatelain,,Patrick Chila,7,FRA,Table Tennis,1992,Summer,17.0,True
"Singles, Men (Olympic)",,,Patrick Chila,7,FRA,Table Tennis,1996,Summer,9.0,True
"Doubles, Men (Olympic)",Christophe Legoût,,Patrick Chila,7,FRA,Table Tennis,1996,Summer,9.0,True
"Doubles, Men (Olympic)",Jean-Philippe Gatien,Bronze,Patrick Chila,7,FRA,Table Tennis,2000,Summer,3.0,False
"Singles, Men (Olympic)",,,Patrick Chila,7,FRA,Table Tennis,2004,Summer,17.0,True
"Singles, Men (Olympic)",,,Patrick Chila,7,FRA,Table Tennis,2008,Summer,49.0,True
"Singles, Men (Olympic)",,Silver,Henri Cochet,8,FRA,Tennis,1924,Summer,2.0,False
"Doubles, Mixed (Olympic)",Suzanne Lenglen,,Henri Cochet,8,FRA,Tennis,1924,Summer,,False
"Doubles, Men (Olympic)",Jacques Brugnon,Silver,Henri Cochet,8,FRA,Tennis,1924,Summer,2.0,False
"Singles, Men (Olympic)",,,Marcel Cousin,9,FRA,Tennis,1924,Summer,17.0,True
"Doubles, Men (Olympic)",André Prévost,Bronze,Guy de la Chapelle,10,FRA,Tennis,1900,Summer,3.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,Guy de la Chapelle,10,FRA,Tennis,1900,Summer,5.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Gonzalo de Candamo,,Guy de la Chapelle,10,FRA,Tennis,1900,Summer,3.0,True
"Épée, Individual, Men (Olympic)",,,"Élie, Comte de Lastours",11,FRA,Fencing,1900,Summer,1.0,False
Tennis,FRA,,"Élie, Comte de Lastours",11,FRA,Fencing,1900,Summer,,True
"Doubles, Men (Olympic)","Guy, Baron Lejeune",,"Élie, Comte de Lastours",11,FRA,Fencing,1900,Summer,5.0,True
"Doubles, Handicap, Mixed (Olympic (non-medal))",Charlotte Cooper,,"Élie, Comte de Lastours",11,FRA,Fencing,1900,Summer,5.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,"Élie, Comte de Lastours",11,FRA,Fencing,1900,Summer,17.0,True
"Doubles, Handicap, Men (Olympic (non-medal))","Guy, Baron Lejeune",,"Élie, Comte de Lastours",11,FRA,Fencing,1900,Summer,5.0,True
"Singles, Men (Olympic)",,,Max Decugis,12,FRA,Tennis,1900,Summer,,False
"Doubles, Men (Olympic)",Spalding de Garmendia,Silver,Max Decugis,12,FRA,Tennis,1900,Summer,2.0,False
"Doubles, Handicap, Men (Olympic (non-medal))",Spalding de Garmendia,,Max Decugis,12,FRA,Tennis,1900,Summer,1.0,False
"Singles, Men (Intercalated)",,Gold,Max Decugis,12,FRA,Tennis,1906,Intercalated,1.0,False
"Doubles, Mixed (Intercalated)",Marie Decugis,Gold,Max Decugis,12,FRA,Tennis,1906,Intercalated,1.0,False
"Doubles, Men (Intercalated)",Maurice Germot,Gold,Max Decugis,12,FRA,Tennis,1906,Intercalated,1.0,False
"Singles, Men (Olympic)",,,Max Decugis,12,FRA,Tennis,1908,Summer,,False
"Doubles, Men (Olympic)",Maurice Germot,,Max Decugis,12,FRA,Tennis,1908,Summer,,False
"Doubles, Covered Courts, Mixed (Olympic)",Marie Decugis,,Max Decugis,12,FRA,Tennis,1912,Summer,,False
"Singles, Covered Courts, Men (Olympic)",,,Max Decugis,12,FRA,Tennis,1912,Summer,,False
"Singles, Men (Olympic)",,,Max Decugis,12,FRA,Tennis,1920,Summer,17.0,True
"Doubles, Mixed (Olympic)",Suzanne Lenglen,Gold,Max Decugis,12,FRA,Tennis,1920,Summer,1.0,False
"Doubles, Men (Olympic)",Pierre Albarran,Bronze,Max Decugis,12,FRA,Tennis,1920,Summer,3.0,False
"Singles, Men (Olympic)",,,J. Defert,13,FRA,Tennis,1896,Summer,8.0,True
"Doubles, Men (Olympic)",André Vacherot,,J. Defert,13,FRA,Tennis,1896,Summer,,False
"Singles, Men (Olympic)",,,Étienne Durand,14,FRA,Tennis,1900,Summer,8.0,True
"Doubles, Men (Olympic)",Adrien Fauchier-Magnan,,Étienne Durand,14,FRA,Tennis,1900,Summer,5.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,Étienne Durand,14,FRA,Tennis,1900,Summer,9.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Adrien Fauchier-Magnan,,Étienne Durand,14,FRA,Tennis,1900,Summer,3.0,True
"Doubles, Men (Olympic)",Jean-Philippe Gatien,,Damien Éloi,15,FRA,Table Tennis,1992,Summer,5.0,True
"Doubles, Men (Olympic)",Jean-Philippe Gatien,,Damien Éloi,15,FRA,Table Tennis,1996,Summer,5.0,True
"Singles, Men (Olympic)",,,Damien Éloi,15,FRA,Table Tennis,2000,Summer,9.0,True
"Doubles, Men (Olympic)",Christophe Legoût,,Damien Éloi,15,FRA,Table Tennis,2000,Summer,5.0,True
"Singles, Men (Olympic)",,,Damien Éloi,15,FRA,Table Tennis,2008,Summer,33.0,True
"Doubles, Men (Olympic)",Étienne Durand,,Adrien Fauchier-Magnan,16,FRA,Tennis,1900,Summer,5.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Étienne Durand,,Adrien Fauchier-Magnan,16,FRA,Tennis,1900,Summer,3.0,True
"Singles, Men (Olympic (non-medal))",,,Guy Forget,17,FRA,Tennis,1984,Summer,5.0,True
"Singles, Men (Olympic)",,,Guy Forget,17,FRA,Tennis,1988,Summer,9.0,True
"Doubles, Men (Olympic)",Henri Leconte,,Guy Forget,17,FRA,Tennis,1988,Summer,5.0,True
"Singles, Men (Olympic)",,,Guy Forget,17,FRA,Tennis,1992,Summer,17.0,True
"Doubles, Men (Olympic)",Henri Leconte,,Guy Forget,17,FRA,Tennis,1992,Summer,9.0,True
"Singles, Men (Olympic)",,,Jean-Philippe Gatien,18,FRA,Table Tennis,1988,Summer,33.0,True
"Doubles, Men (Olympic)",Patrick Birocheau,,Jean-Philippe Gatien,18,FRA,Table Tennis,1988,Summer,17.0,True
"Singles, Men (Olympic)",,Silver,Jean-Philippe Gatien,18,FRA,Table Tennis,1992,Summer,2.0,False
"Doubles, Men (Olympic)",Damien Éloi,,Jean-Philippe Gatien,18,FRA,Table Tennis,1992,Summer,5.0,True
"Singles, Men (Olympic)",,,Jean-Philippe Gatien,18,FRA,Table Tennis,1996,Summer,17.0,True
"Doubles, Men (Olympic)",Damien Éloi,,Jean-Philippe Gatien,18,FRA,Table Tennis,1996,Summer,5.0,True
"Singles, Men (Olympic)",,,Jean-Philippe Gatien,18,FRA,Table Tennis,2000,Summer,17.0,True
"Doubles, Men (Olympic)",Patrick Chila,Bronze,Jean-Philippe Gatien,18,FRA,Table Tennis,2000,Summer,3.0,False
"Doubles, Handicap, Mixed (Olympic (non-medal))",Katie Gilou,,Maurice Germot,19,FRA,Tennis,1900,Summer,2.0,False
"Singles, Handicap, Men (Olympic (non-medal))",,,Maurice Germot,19,FRA,Tennis,1900,Summer,9.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Finger,,Maurice Germot,19,FRA,Tennis,1900,Summer,2.0,False
"Singles, Men (Intercalated)",,Silver,Maurice Germot,19,FRA,Tennis,1906,Intercalated,2.0,False
"Doubles, Men (Intercalated)",Max Decugis,Gold,Maurice Germot,19,FRA,Tennis,1906,Intercalated,1.0,False
"Singles, Men (Olympic)",,,Maurice Germot,19,FRA,Tennis,1908,Summer,5.0,True
"Doubles, Men (Olympic)",Max Decugis,,Maurice Germot,19,FRA,Tennis,1908,Summer,,False
"Singles, Covered Courts, Men (Olympic)",,,Maurice Germot,19,FRA,Tennis,1912,Summer,9.0,True
"Doubles, Covered Courts, Men (Olympic)",André Gobert,Gold,Maurice Germot,19,FRA,Tennis,1912,Summer,1.0,False
"Singles, Covered Courts, Men (Olympic)",,Gold,André Gobert,20,FRA,Tennis,1912,Summer,1.0,False
"Doubles, Covered Courts, Men (Olympic)",Maurice Germot,Gold,André Gobert,20,FRA,Tennis,1912,Summer,1.0,False
"Doubles, Mixed (Olympic)",Élisabeth d'Ayen,,Pierre Hirsch,21,FRA,Tennis,1920,Summer,8.0,True
"Singles, Men (Olympic)",,,René Lacoste,22,FRA,Tennis,1924,Summer,5.0,True
"Doubles, Men (Olympic)",Jean Borotra,Bronze,René Lacoste,22,FRA,Tennis,1924,Summer,3.0,False
"Singles, Men (Olympic)",,,Daniel Lawton,23,FRA,Tennis,1912,Summer,,False
"Doubles, Men (Olympic)",Jean-Pierre Samazeuilh,,Daniel Lawton,23,FRA,Tennis,1912,Summer,,False
"Doubles, Men (Olympic)",Jean-Pierre Samazeuilh,,Daniel Lawton,23,FRA,Tennis,1920,Summer,9.0,True
"Singles, Men (Olympic)",,,Paul Lebreton,24,FRA,Tennis,1900,Summer,8.0,True
"Doubles, Men (Olympic)",Paul Lecaron,,Paul Lebreton,24,FRA,Tennis,1900,Summer,5.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,Paul Lebreton,24,FRA,Tennis,1900,Summer,9.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Paul Lecaron,,Paul Lebreton,24,FRA,Tennis,1900,Summer,3.0,True
"Singles, Men (Olympic)",,,Paul Lecaron,25,FRA,Tennis,1900,Summer,5.0,True
"Doubles, Men (Olympic)",Paul Lebreton,,Paul Lecaron,25,FRA,Tennis,1900,Summer,5.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,Paul Lecaron,25,FRA,Tennis,1900,Summer,5.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Paul Lebreton,,Paul Lecaron,25,FRA,Tennis,1900,Summer,3.0,True
"Singles, Men (Olympic)",,,Henri Leconte,26,FRA,Tennis,1988,Summer,17.0,True
"Doubles, Men (Olympic)",Guy Forget,,Henri Leconte,26,FRA,Tennis,1988,Summer,5.0,True
"Singles, Men (Olympic)",,,Henri Leconte,26,FRA,Tennis,1992,Summer,17.0,True
"Doubles, Men (Olympic)",Guy Forget,,Henri Leconte,26,FRA,Tennis,1992,Summer,9.0,True
"Doubles, Men (Olympic)",Patrick Chila,,Christophe Legoût,27,FRA,Table Tennis,1996,Summer,9.0,True
"Singles, Men (Olympic)",,,Christophe Legoût,27,FRA,Table Tennis,2000,Summer,9.0,True
"Doubles, Men (Olympic)",Damien Éloi,,Christophe Legoût,27,FRA,Table Tennis,2000,Summer,5.0,True
"Singles, Men (Olympic)",,,Christophe Legoût,27,FRA,Table Tennis,2008,Summer,49.0,True
"Doubles, Men (Olympic)","Élie, Comte de Lastours",,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,5.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,9.0,True
"Doubles, Handicap, Men (Olympic (non-medal))","Élie, Comte de Lastours",,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,5.0,True
Polo,FRA,,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,,True
"Polo, Men (Olympic (non-medal))",Blue,,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,2.0,False
"Polo, Men (Olympic (non-medal))",C,,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,3.0,True
"Polo, Men (Olympic (non-medal))",B,,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,2.0,False
"Polo, Men (Olympic (non-medal))",B,,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,3.0,False
"Polo, Men (Olympic (non-medal))",A,,"Guy, Baron Lejeune",28,FRA,Tennis,1900,Summer,3.0,True
"Singles, Men (Olympic)",,,Albert Lippmann,29,FRA,Tennis,1900,Summer,8.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,Albert Lippmann,29,FRA,Tennis,1900,Summer,,False
"Singles, Men (Olympic)",,,Édouard Mény de Marangue,30,FRA,Tennis,1912,Summer,31.0,True
"Doubles, Men (Olympic)",Albert Canet,Bronze,Édouard Mény de Marangue,30,FRA,Tennis,1912,Summer,3.0,False
"Singles, Men (Olympic)",,,André Prévost,31,FRA,Tennis,1900,Summer,8.0,True
"Doubles, Men (Olympic)",Guy de la Chapelle,Bronze,André Prévost,31,FRA,Tennis,1900,Summer,3.0,True
"Doubles, Handicap, Mixed (Olympic (non-medal))",Yvonne Prévost,,André Prévost,31,FRA,Tennis,1900,Summer,1.0,False
"Singles, Handicap, Men (Olympic (non-medal))",,,André Prévost,31,FRA,Tennis,1900,Summer,1.0,False
"Doubles, Handicap, Men (Olympic (non-medal))",Reggie Doherty,,André Prévost,31,FRA,Tennis,1900,Summer,5.0,True
"Singles, Men (Olympic)",,,Guillaume Raoux,32,FRA,Tennis,1996,Summer,33.0,True
"Doubles, Men (Olympic)",Arnaud Boetsch,,Guillaume Raoux,32,FRA,Tennis,1996,Summer,17.0,True
"Singles, Men (Olympic)",,,Stéphane Renault,33,FRA,Badminton,1992,Summer,33.0,True
"Singles, Men (Olympic)",,,Jean-Pierre Samazeuilh,34,FRA,Tennis,1912,Summer,,False
"Doubles, Men (Olympic)",Daniel Lawton,,Jean-Pierre Samazeuilh,34,FRA,Tennis,1912,Summer,,False
"Singles, Men (Olympic)",,,Jean-Pierre Samazeuilh,34,FRA,Tennis,1920,Summer,17.0,True
"Doubles, Men (Olympic)",Daniel Lawton,,Jean-Pierre Samazeuilh,34,FRA,Tennis,1920,Summer,9.0,True
"Singles, Men (Olympic)",,,Fabrice Santoro,35,FRA,Tennis,1992,Summer,5.0,True
"Singles, Men (Olympic)",,,Fabrice Santoro,35,FRA,Tennis,2000,Summer,9.0,True
"Singles, Men (Olympic)",,,Fabrice Santoro,35,FRA,Tennis,2004,Summer,17.0,True
"Doubles, Men (Olympic)",Michaël Llodra,,Fabrice Santoro,35,FRA,Tennis,2004,Summer,5.0,True
"Singles, Men (Olympic)",,,Étienne Thobois,36,FRA,Badminton,1996,Summer,33.0,True
"Doubles, Mixed (Olympic)",Antoinette Gilou,,Pierre Verdé-Delisle,37,FRA,Tennis,1900,Summer,5.0,True
"Doubles, Handicap, Mixed (Olympic (non-medal))",Antoinette Gilou,,Pierre Verdé-Delisle,37,FRA,Tennis,1900,Summer,5.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,Pierre Verdé-Delisle,37,FRA,Tennis,1900,Summer,9.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Archibald Warden,,Pierre Verdé-Delisle,37,FRA,Tennis,1900,Summer,2.0,False
"Doubles, Covered Courts, Mixed (Olympic)",Roper Barrett,Silver,Helen Aitchison,38,GBR,Tennis,1912,Summer,2.0,False
"Singles, Covered Courts, Women (Olympic)",,,Helen Aitchison,38,GBR,Tennis,1912,Summer,5.0,True
"Singles, Women (Olympic)",,,Geraldine Beamish,39,GBR,Tennis,1920,Summer,9.0,True
"Doubles, Mixed (Olympic)",Alfred Beamish,,Geraldine Beamish,39,GBR,Tennis,1920,Summer,8.0,True
"Doubles, Women (Olympic)",Dorothy Holman,Silver,Geraldine Beamish,39,GBR,Tennis,1920,Summer,2.0,False
