Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Male,"François Joseph Marie Antoine ""Jean-François""•Blanchy",Jean-François•Blanchy,"12 December 1886 in Bordeaux, Gironde (FRA)","2 October 1960 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)",France,1,,,,,,,,
Competed in Olympic Games,Male,Arnaud Benjamin•Boetsch,Arnaud•Boetsch,"1 April 1969 in Meulan, Yvelines (FRA)",,France,2,183 cm / 76 kg,"Racing Club de France, Paris (FRA)",,,,,,
Competed in Olympic Games • Administrator,Male,Jean Laurent Robert•Borotra,Jean•Borotra,"13 August 1898 in Biarritz, Pyrénées-Atlantiques (FRA)","17 July 1994 in Arbonne, Pyrénées-Atlantiques (FRA)",France,3,183 cm / 76 kg,"TCP, Paris (FRA)",Le Basque Bondissant (The Bounding Basque),,,,,
Competed in Olympic Games,Male,Jacques Marie Stanislas Jean•Brugnon,Jacques•Brugnon,"11 May 1895 in Paris VIIIe, Paris (FRA)","20 March 1978 in Monaco, Monaco (MON)",France,4,168 cm / 64 kg,"Sporting club de Paris, Paris (FRA)",Toto,,,,,
Competed in Olympic Games,Male,Henry Albert•Canet,Albert•Canet,"17 April 1878 in Wandsworth, England (GBR)","25 July 1930 in Paris VIIe, Paris (FRA)",France,5,,"TCP, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Nicolas•Chatelain,Nicolas•Chatelain,"13 January 1970 in Amiens, Somme (FRA)",,France,6,181 cm / 70 kg,"SAG Cestas, Cestas (FRA)",,,,,,
Competed in Olympic Games,Male,Patrick•Chila,Patrick•Chila,"27 November 1969 in Ris-Orangis, Essonne (FRA)",,France,7,180 cm / 73 kg,"AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levallois-Perret (FRA)",,,,,,
Competed in Olympic Games,Male,Henri Jean•Cochet,Henri•Cochet,"14 December 1901 in Villeurbanne, Rhône (FRA)","2 April 1987 in Saint-Germain-en-Laye, Yvelines (FRA)",France,8,,,Le Magicien,,,,,
Competed in Olympic Games,Male,Marcel•Cousin,Marcel•Cousin,"4 August 1896 in Nîmes, Gard (FRA)","1 August 1986 in Nîmes, Gard (FRA)",France,9,,,,,,,,
Competed in Olympic Games,Male,Luc Henri Hervé Guy•Gardye de la Chapelle,Guy•de la Chapelle,"16 July 1868 in Farges-Allichamps, Cher (FRA)",27 August 1923,France,10,,,,,,,,
Competed in Olympic Games,Male,Élie Marie Gabriel•Dor de Lastours,"Élie, Comte•de Lastours","12 August 1874 in Orgeval, Yvelines (FRA)","18 November 1932 in Castres, Tarn (FRA)",France,11,,,,Comte (Count),,,,
Competed in Olympic Games • Competed in Intercalated Games • Non-starter,Male,"Maxime Omer Mathieu ""Max""•Omer-Decugis",Max•Decugis,"24 September 1882 in Paris XVIe, Paris (FRA)","6 September 1978 in Biot, Alpes-Maritimes (FRA)",France,12,,Sporting Club de France,,,,,,
Competed in Olympic Games,Male,J.•Defert,J.•Defert,,,France,13,,"Racing Club de France, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Étienne•Durand,Étienne•Durand,,,France,14,,"TCP, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Damien•Éloi,Damien•Éloi,"4 July 1969 in Vire, Calvados (FRA)",,France,15,165 cm / 58 kg,"Caen TTC, Caen (FRA) / SAG Cestas, Cestas (FRA) / Levallois SC, Levallois-Perret (FRA)",,,,,,
Competed in Olympic Games,Male,Marie Joseph Adrien•Fauchier-Magnan,Adrien•Fauchier-Magnan,"19 November 1873 in Paris VIIIe, Paris (FRA)","6 August 1965 in Cannes, Alpes-Maritimes (FRA)",France,16,,,,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Guy•Forget,Guy•Forget,"4 January 1965 in Casablanca, Casablanca-Settat (MAR)",,France,17,189 cm / 79 kg,"Racing Club de France, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Jean-Philippe•Gatien,Jean-Philippe•Gatien,"16 October 1968 in Alès, Gard (FRA)",,France,18,178 cm / 73 kg,"Levallois SC, Levallois-Perret (FRA)",,,,,,
Competed in Olympic Games • Competed in Intercalated Games • Competed in Olympic Games (non-medal events),Male,Marie Claude Maurice•Germot,Maurice•Germot,"15 November 1882 in Vichy, Allier (FRA)","6 August 1958 in Vichy, Allier (FRA)",France,19,,Sporting Club Vichy,,,,,,
Competed in Olympic Games,Male,Henry Maurice André•Gobert,André•Gobert,"30 September 1890 in Paris XVIIe, Paris (FRA)","6 December 1951 in Paris VIIe, Paris (FRA)",France,20,,"Sporting Club d'Houlgate, Houlgate (FRA)",,,,,,
Competed in Olympic Games,Male,Pierre Michel•Hirsch,Pierre•Hirsch,"8 November 1900 in Paris Ie, Paris (FRA)","19 April 1942 in Oświęcim, Małopolskie (POL)",France,21,,"Sporting club de Paris, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Jean René•Lacoste,René•Lacoste,"2 July 1904 in Paris Xe, Paris (FRA)","12 October 1996 in Saint-Jean-de-Luz, Pyrénées-Atlantiques (FRA)",France,22,,,"Le Crocodile, L'Alligator",,,,,
Competed in Olympic Games • Non-starter,Male,Daniel Édouard•Lawton,Daniel•Lawton,"27 November 1881 in Cantenac, Gironde (FRA)","27 March 1979 in Bordeaux, Gironde (FRA)",France,23,,,,,,,,
Competed in Olympic Games,Male,Louis Paul•Lebreton,Paul•Lebreton,"19 October 1875 in Paris IIe, Paris (FRA)","31 March 1960 in Paris IXe, Paris (FRA)",France,24,,"TCP, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Paul Émile•Lecaron,Paul•Lecaron,"29 July 1863 in Neuilly-sur-Seine, Hauts-de-Seine (FRA)","17 September 1940 in Paris XVIe, Paris (FRA)",France,25,,"TCP, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Henri•Leconte,Henri•Leconte,"4 July 1963 in Lillers, Pas-de-Calais (FRA)",,France,26,184 cm / 78 kg,LTC Nice,Le vengeur masqué,,,,,
Competed in Olympic Games,Male,Christophe•Legoût,Christophe•Legoût,"6 August 1973 in Montbéliard, Doubs (FRA)",,France,27,177 cm / 75 kg,"Levallois SC, Levallois-Perret (FRA) / Istres Sports, Istres (FRA)",,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Guy•Lejeune,"Guy, Baron•Lejeune",,,France,28,,,,Baron,,,,
Competed in Olympic Games,Male,Albert•Lippmann,Albert•Lippmann,,,France,29,,"unattached, (MIX)",,,,,,
Competed in Olympic Games,Male,Édouard Marie Marc•Mény de Marangue,Édouard•Mény de Marangue,"30 November 1882 in Paris VIe, Paris (FRA)","23 January 1960 in Beaulieu-sur-Mer, Alpes-Maritimes (FRA)",France,30,,,,,,,,
Competed in Olympic Games,Male,André Adrien Hippolyte•Prévost,André•Prévost,"28 February 1875 in Paris VIIIe, Paris (FRA)","22 November 1951 in Neuilly-sur-Seine, Hauts-de-Seine (FRA)",France,31,,"Tennis Club de Puteaux, Puteaux (FRA)",,,,,,
Competed in Olympic Games,Male,Guillaume•Raoux,Guillaume•Raoux,"14 February 1970 in Bagnols-sur-Cèze, Gard (FRA)",,France,32,180 cm / 77 kg,"Racing Club de France, Paris (FRA)",,,,,,
Competed in Olympic Games,Male,Stéphane•Renault,Stéphane•Renault,"1 March 1968 in Barfleur, Manche (FRA)",,France,33,180 cm / 72 kg,HBC,,,,,,
Competed in Olympic Games • Non-starter,Male,Jean-Pierre•Samazeuilh,Jean-Pierre•Samazeuilh,"17 January 1891 in Bordeaux, Gironde (FRA)","13 April 1965 in Mérignac, Gironde (FRA)",France,34,,,,,,,,
Competed in Olympic Games,Male,Fabrice Vetea•Santoro,Fabrice•Santoro,"9 December 1972 in Tahiti, Îles du Vent (FPN)",,France,35,177 cm / 68 kg,,Battling Fab,,,,,
Competed in Olympic Games • Administrator,Male,Étienne•Thobois,Étienne•Thobois,"20 September 1967 in Amiens, Somme (FRA)",,France,36,186 cm / 78 kg,"Lille UC, Lille (FRA)",,,,,,
Competed in Olympic Games,Male,Philippe-Edmond Pierre•Verdé-Delisle,Pierre•Verdé-Delisle,"16 May 1877 in Trie-la-Ville, Oise (FRA)","18 July 1960 in Paris VIIe, Paris (FRA)",France,37,,,,,,,,
Competed in Olympic Games,Female,Frances Helen•Aitchison (-Leisk),Helen•Aitchison,"6 December 1881 in Sunderland, England (GBR)","26 May 1947 in Aylesbury, England (GBR)",Great Britain,38,,,,,,,,
Competed in Olympic Games,Female,Winifred Geraldine•Beamish (Ramsey-),Geraldine•Beamish,"23 June 1883 in Forest Gate, England (GBR)","10 May 1972 in St. Pancras, England (GBR)",Great Britain,39,,"Queen's Club, London (GBR)",,,,,,
Competed in Olympic Games,Female,Penelope Dora Harvey•Boothby (-Geen),Dora•Boothby,"2 August 1881 in Finchley, England (GBR)","22 February 1970 in Hammersmith, England (GBR)",Great Britain,40,,,,,,,,
Competed in Olympic Games,Female,Julie Jane•Bradbury,Julie•Bradbury,"12 February 1967 in Oxford, England (GBR)",,Great Britain,41,175 cm / 64 kg,,,,,,,
Competed in Olympic Games,Female,Gillian Margaret•Clark,Gillian•Clark,"2 September 1961 in Baghdad, Baghdad (IRQ)",,Great Britain,42,176 cm / 68 kg,Wimbledon,,,,,,
Competed in Olympic Games,Female,Mildred•Coles (-Davis),Mildred•Coles,"9 April 1876 in Cranbrook, England (GBR)","24 February 1937 in Folkestone, England (GBR)",Great Britain,43,,,,,,,,
Competed in Olympic Games,Female,Evelyn Lucy•Colyer (-Munro),Evelyn•Colyer,"16 August 1902 in Wandsworth, England (GBR)","4 November 1930 in Bishnath, Assam (IND)",Great Britain,44,,,,,,,,
Competed in Olympic Games • Non-starter,Female,Charlotte Reinagle•Cooper (-Sterry),Charlotte•Cooper,"22 September 1870 in Ealing, England (GBR)","10 October 1966 in Helensburgh, Scotland (GBR)",Great Britain,45,,"Chiswick Park Lawn Tennis Club, Chiswick (GBR)",Chatty,,,,,
Competed in Olympic Games,Female,Phyllis Lindrea•Covell (Howkins-),Phyllis•Covell,"22 May 1895 in Paddington, England (GBR)","28 October 1982 in Heyshott, England (GBR)",Great Britain,46,,,,,,,,
Competed in Olympic Games,Female,Gladys Shirley•Eastlake-Smith (-Lamplough),Gladys•Eastlake-Smith,"14 August 1883 in Lewisham, England (GBR)","18 September 1941 in Middleham, England (GBR)",Great Britain,47,,,,,,,,
Competed in Olympic Games,Female,Sara Louise•Gomer (-Palombo),Sara•Gomer,"13 May 1964 in Torquay, England (GBR)",,Great Britain,48,190 cm / 85 kg,Riverside,,,,,,
Competed in Olympic Games,Female,Alison Helen•Gordon (-Broe),Alison•Gordon,"31 December 1962 in Reading, England (GBR)",,Great Britain,49,175 cm / 68 kg,,,,,,,
Competed in Olympic Games,Female,Gillian Carol•Gowers,Gillian•Gowers,"9 April 1964 in Horfield, Clifton, England (GBR)",,Great Britain,50,157 cm / 55 kg,Gosling,,,,,,
Competed in Olympic Games,Female,Alice Norah Gertrude•Greene,Alice•Greene,"15 October 1879 in Upton, England (GBR)","26 October 1956 in Saint Brélade, Jersey (JER)",Great Britain,51,,,,,,,,
Competed in Olympic Games,Female,Edith Margaret•Hannam (Boucher-),Edith•Hannam,"28 November 1878 in Bristol, England (GBR)","16 January 1951 in Kensington, England (GBR)",Great Britain,52,,,,,,,,
Competed in Olympic Games,Female,Edith Dorothy•Holman,Dorothy•Holman,"18 July 1883 in Kilburn, England (GBR)","15 June 1968 in Brent, England (GBR)",Great Britain,53,,,,,,,,
Competed in Olympic Games,Female,Andrea Mary•Holt,Andrea•Holt,"11 November 1970 in Radcliffe, England (GBR)",,Great Britain,54,168 cm / 64 kg,NFD Grove,,,,,,
Competed in Olympic Games,Female,Monique Alicia•Javer (-Dias),Monique•Javer,"22 July 1967 in Burlingame, California (USA)",,Great Britain,55,177 cm / 64 kg,,,,,,,
Competed in Olympic Games,Female,Valda•Lake,Valda•Lake,"11 October 1968 in Torquay, England (GBR)",,Great Britain,56,173 cm / 61 kg,,,,,,,
Competed in Olympic Games,Female,"Dorothea Katherine ""Dorothy""•Lambert Chambers (Douglass-)",Dorothy•Lambert Chambers,"3 September 1878 in Ealing, England (GBR)","7 January 1960 in Kensington, England (GBR)",Great Britain,57,,,,,,,,
Competed in Olympic Games,Female,Lisa Jane•Lomas (Bellinger-),Lisa•Lomas,"9 March 1967 in Dunstable, England (GBR)",,Great Britain,58,168 cm / 63 kg,Molndais BTK,,,,,,
Competed in Olympic Games,Female,"Kathleen ""Kitty""•McKane (-Godfree)",Kitty•McKane,"7 May 1896 in Bayswater, England (GBR)","19 June 1992 in East Sheen, England (GBR)",Great Britain,59,,,,,,,,
Competed in Olympic Games,Female,Winifred Margaret•McNair (Slocock-),Winifred•McNair,"9 August 1877 in Donnington, England (GBR)","28 March 1954 in Kensington, England (GBR)",Great Britain,60,,,,,,,,
Competed in Olympic Games,Female,Kelly Ann•Morgan (-Aston),Kelly•Morgan,"22 May 1975 in Pontypridd, Wales (GBR)",,Great Britain,61,178 cm / 65 kg,,,,,,,
Competed in Olympic Games,Female,"Agnes Mary ""Agatha""•Morton (-Stewart)",Agatha•Morton,"6 March 1872 in Halstead, England (GBR)","5 April 1952 in Kensington, England (GBR)",Great Britain,62,,,,Lady Stewart,,,,
Competed in Olympic Games,Female,"Joanne ""Jo""•Muggeridge",Jo•Muggeridge,"3 April 1969 in London, England (GBR)",,Great Britain,63,157 cm / 59 kg,Wimbledon,,,,,,
Competed in Olympic Games,Female,"Mabel Bramwell•Parton (Squire-, -Mavrogordato)",Mabel•Parton,"22 July 1881 in London, England (GBR)","12 August 1962 in Limpsfield, England (GBR)",Great Britain,64,,,,,,,,
Competed in Olympic Games,Female,Violet Millicent•Pinckney,Violet•Pinckney,"11 March 1871 in Alderbury, England (GBR)","13 March 1955 in Southampton, England (GBR)",Great Britain,65,,,,,,,,
Competed in Olympic Games,Female,Sara Louise•Sankey (Halsall-),Sara•Sankey,"29 September 1967 in Southport, England (GBR)",,Great Britain,66,170 cm / 68 kg,"Churchtown BC, Churchtown, Merseyside (GBR)",,,,,,
Competed in Olympic Games,Female,Phyllis Helen•Satterthwaite (Carr-),Phyllis•Satterthwaite,"26 January 1886 in Kensington, England (GBR)","20 January 1962 in Westminster, England (GBR)",Great Britain,67,,,,,,,,
Competed in Olympic Games,Female,Dorothy Cunliffe•Shepherd-Barron,Dorothy•Shepherd-Barron,"24 November 1897 in Beighton, England (GBR)","20 February 1953 in Melbourn, England (GBR)",Great Britain,68,,,,,,,,
Competed in Olympic Games,Female,"Samantha ""Sam""•Smith",Sam•Smith,"27 November 1971 in Epping, England (GBR)",,Great Britain,69,175 cm / 62 kg,,,,,,,
Competed in Olympic Games,Female,Helen Suzanne•Troke (-Alcock),Helen•Troke,"7 November 1964 in Southampton, England (GBR)",,Great Britain,70,172 cm / 63 kg,Lanz SC/Bitterne LC,,,,,,
Competed in Olympic Games,Female,Ruth Isabel•Winch (Legh-),Ruth•Winch,"25 August 1870 in Ryde, England (GBR)","9 January 1952 in Beaumaris, Wales (GBR)",Great Britain,71,,,,,,,,
Competed in Olympic Games,Female,Clare Jacqueline•Wood,Clare•Wood,"8 March 1968 in Zululand, KwaZulu-Natal (RSA)",,Great Britain,72,175 cm / 65 kg,Southdown Lawn Tennis Club,,,,,,
Competed in Olympic Games,Female,Joanne Gwendoline•Wright-Goode,Joanne•Wright-Goode,"17 November 1972 in Harlow, England (GBR)",,Great Britain,73,171 cm / 68 kg,Lancashire,Jo,,,,,
Competed in Olympic Games,Male,"Skylet ""Sky""•Andrew",Sky•Andrew,"31 March 1962 in Newham, England (GBR)",,Great Britain,74,185 cm / 78 kg,"Fellows Cranleigh TTC, Barking (GBR)",,,,,,
Competed in Olympic Games,Male,Simon David•Archer,Simon•Archer,"27 June 1973 in Leamington Spa, England (GBR)",,Great Britain,75,189 cm / 86 kg,Wimbledon,,,,,,
Competed in Olympic Games,Male,Herbert Roper•Barrett,Roper•Barrett,"24 November 1873 in Upton, England (GBR)","27 July 1943 in Horsham, England (GBR)",Great Britain,76,,,,,J.Verne,,,
Competed in Olympic Games,Male,Michael Jeremy•Bates,Jeremy•Bates,"19 June 1962 in Solihull, England (GBR)",,Great Britain,77,180 cm / 72 kg,"Solihull Arden Club, Solihull (GBR)",,,,,,
Competed in Olympic Games,Male,Alfred Ernest•Beamish,Alfred•Beamish,"6 August 1879 in Richmond, England (GBR)","28 February 1944 in Nairn, Scotland (GBR)",Great Britain,78,,"Queen's Club, London (GBR)",,,,,,
Competed in Olympic Games,Male,John Mary Pius•Boland,John Pius•Boland,"16 September 1870 in Dublin, Dublin (IRL)","17 March 1958 in Westminster, England (GBR)",Great Britain,79,,"University of Oxford, Oxford (GBR)",,,,Ireland,,
Competed in Olympic Games,Male,Neil•Broad,Neil•Broad,"20 November 1966 in Cape Town, Western Cape (RSA)",,Great Britain,80,191 cm / 87 kg,,,,,,,
Competed in Olympic Games,Male,George Aristides•Caridia (Karidias-),George•Caridia,"20 February 1869 in Kolkata (Calcutta), West Bengal (IND)","21 April 1937 in Marylebone, England (GBR)",Great Britain,81,,,,,,,,
Competed in Olympic Games,Male,Andrew Nicholas•Castle,Andrew•Castle,"15 November 1963 in Epsom, England (GBR)",,Great Britain,82,190 cm / 74 kg,"Queen's Club, London (GBR)",,,,,,
Competed in Olympic Games,Male,Clement Haughton Langston•Cazalet,Clement•Cazalet,"16 July 1869 in St. James's, England (GBR)","23 March 1950 in Harrow, England (GBR)",Great Britain,83,,,,,,,,
Competed in Olympic Games,Male,Xinhua•Chen,Xinhua•Chen,"30 January 1960 in Fuan, Fujian (CHN)",,Great Britain,84,175 cm / 71 kg,,,,陈新华,,,
Competed in Olympic Games,Male,Alan•Cooke,Alan•Cooke,"23 March 1966 in Clay Cross, England (GBR)",,Great Britain,85,170 cm / 64 kg,"Falkenbergs BTK, Falkenberg (SWE)",,,,,,
Competed in Olympic Games,Male,Walter Cecil•Crawley,Walter•Crawley,"29 March 1880 in Masham, England (GBR)","11 October 1940 in Graffham, England (GBR)",Great Britain,86,,,,,,,,
Competed in Olympic Games,Male,Charles Percy•Dixon,Charles•Dixon,"7 February 1873 in Grantham, England (GBR)","29 April 1939 in West Norwood, Lambeth, England (GBR)",Great Britain,87,,,,,,,,
Competed in Olympic Games • Non-starter,Male,"Hugh Lawrence ""Laurie""•Doherty",Laurie•Doherty,"8 October 1875 in Wimbledon, England (GBR)","21 August 1919 in Broadstairs, England (GBR)",Great Britain,88,178 cm,"All England Lawn Tennis and Croquet Club, Wimbledon (GBR)",Little Do,,,,,
Competed in Olympic Games,Male,"Reginald Frank ""Reggie""•Doherty",Reggie•Doherty,"14 October 1872 in Wimbledon, England (GBR)","29 December 1910 in Kensington, England (GBR)",Great Britain,89,,"All England Lawn Tennis and Croquet Club, Wimbledon (GBR)",,,,,,
Competed in Olympic Games,Male,Desmond•Douglas,Desmond•Douglas,"20 July 1955 in Kingston, Kingston (JAM)",,Great Britain,90,175 cm / 66 kg,Bathwick Tyres,,,,,,
Competed in Olympic Games,Male,Wilberforce Vaughan•Eaves,Wilberforce•Eaves,"10 December 1867 in Melbourne, Victoria (AUS)","10 February 1920 in Marylebone, England (GBR)",Great Britain,91,,,,,,,,
Competed in Olympic Games,Male,Lionel Hunter•Escombe,Lionel•Escombe,"1876 in Natal, KwaZulu-Natal (RSA)","15 October 1914 in Brentford, England (GBR)",Great Britain,92,,,,,,,,
Competed in Olympic Games,Female,Anne•Gibson (Robertson-),Anne•Gibson,"26 October 1968 in Dumfries, Scotland (GBR)",,Great Britain,93,173 cm / 70 kg,,,,,,,
Competed in Olympic Games,Male,John Brian•Gilbert,Brian•Gilbert,"17 July 1887 in Barnes, England (GBR)","28 July 1974 in Roehampton, England (GBR)",Great Britain,94,,,,,,,,
